"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"370",14,"Anthony Richardson Sr.",IND,"QB41","13","-","-","4 out of 5 stars","+55"
"371",14,"Xavier Hutchinson",HOU,"WR130","8","-","-","3 out of 5 stars","+32"
"372",14,"Jaylin Lane",WAS,"WR131","7","-","-","2 out of 5 stars","-"
"373",14,"Eli Raridon",NE,"TE50","11","4 out of 5","4 out of 5","4 out of 5 stars","-16"
"374",14,"Tampa Bay Buccaneers",TB,"DST25","10","-","-","4 out of 5 stars","-121"
"375",14,"Tyler Bass",BUF,"K21","7","-","-","2 out of 5 stars","-106"
"376",14,"Tutu Atwell",MIA,"WR132","6","-","-","3 out of 5 stars","+114"
"377",14,"Noah Fant",NO,"TE51","8","-","-","2 out of 5 stars","+112"
"378",14,"Kalif Raymond",CHI,"WR133","10","-","-","3 out of 5 stars","-3"
"379",14,"Savion Williams",GB,"WR134","11","-","-","5 out of 5 stars","+26"
"380",14,"Nick Folk",ATL,"K22","11","-","-","0 out of 5 stars","-98"
"381",14,"Tennessee Titans",TEN,"DST26","9","-","-","2 out of 5 stars","-120"
"382",14,"Luke Musgrave",GB,"TE52","11","-","-","2 out of 5 stars","-40"
"383",14,"Kyle Juszczyk",SF,"RB108","8","-","-","2 out of 5 stars","+144"
"384",14,"John Bates",WAS,"TE53","7","-","-","1 out of 5 stars","+144"
"385",14,"Kevin Coleman Jr.",MIA,"WR135","6","-","-","3 out of 5 stars","+62"
"386",14,"Phil Mafah",DAL,"RB109","14","-","-","4 out of 5 stars","+90"
"387",14,"Miami Dolphins",MIA,"DST27","6","-","-","3 out of 5 stars","-102"
"388",14,"KaVontae Turpin",DAL,"WR136","14","-","-","2 out of 5 stars","-54"
"389",14,"Nick Westbrook-Ikhine",IND,"WR137","13","-","-","4 out of 5 stars","-"
"390",14,"Trey Smack",GB,"K23","11","-","-","4 out of 5 stars","-76"
"391",14,"Blake Grupe",IND,"K24","13","-","-","4 out of 5 stars","-"
"392",14,"Cincinnati Bengals",CIN,"DST28","6","-","-","4 out of 5 stars","-113"
"393",14,"Devontez Walker",BAL,"WR138","13","-","-","4 out of 5 stars","-75"
"394",14,"Washington Commanders",WAS,"DST29","7","-","-","2 out of 5 stars","-99"
"395",14,"Austin Ekeler",FA,"RB110","-","-","-","-","-104"
"396",14,"Tommy Tremble",CAR,"TE54","5","-","-","2 out of 5 stars","-2"
"397",14,"Ben Sinnott",WAS,"TE55","7","-","-","1 out of 5 stars","+97"
"398",14,"Ryan Fitzgerald",CAR,"K25","5","-","-","0 out of 5 stars","-68"
"399",14,"Jordan Whittington",LAR,"WR139","11","-","-","1 out of 5 stars","-54"
"400",14,"Dameon Pierce",PHI,"RB111","10","-","-","4 out of 5 stars","+164"
"401",14,"Joe Milton III",DAL,"QB42","14","-","-","2 out of 5 stars","-48"
"402",14,"Darren Waller",FA,"TE56","-","-","-","-","-"
"403",14,"Ben Sauls",NYG,"K26","8","-","-","2 out of 5 stars","-74"
"404",14,"Chad Ryland",ARI,"K27","14","-","-","2 out of 5 stars","-63"
"405",14,"Dyami Brown",WAS,"WR140","7","-","-","2 out of 5 stars","-"
"406",14,"Joe Flacco",CIN,"QB43","6","-","-","3 out of 5 stars","-32"
"407",14,"Deion Burks",IND,"WR141","13","2 out of 5","4 out of 5","4 out of 5 stars","-"
"408",14,"Jam Miller",NE,"RB112","11","2 out of 5","4 out of 5","2 out of 5 stars","+175"
"409",14,"Jeremy McNichols",WAS,"RB113","7","-","-","4 out of 5 stars","-"
"410",14,"Daniel Carlson",LV,"K28","13","-","-","1 out of 5 stars","-"
"411",14,"Sione Vaki",DET,"RB114","6","-","-","5 out of 5 stars","+64"
"412",14,"Austin Hooper",ATL,"TE57","11","-","-","3 out of 5 stars","-"
"413",14,"Zavion Thomas",CHI,"WR142","10","2 out of 5","4 out of 5","3 out of 5 stars","-36"
"414",14,"Ashton Dulin",IND,"WR143","13","-","-","4 out of 5 stars","+112"
"415",14,"Terrell Jennings",NE,"RB115","11","-","-","2 out of 5 stars","+93"
"416",14,"Joey Slye",TEN,"K29","9","-","-","4 out of 5 stars","+36"
"417",14,"Brandon McManus",FA,"K30","-","-","-","-","+99"
"418",14,"Marcus Mariota",WAS,"QB44","7","-","-","2 out of 5 stars","-"
"419",14,"Jameis Winston",NYG,"QB45","8","-","-","4 out of 5 stars","-69"
"420",14,"Spencer Shrader",IND,"K31","13","-","-","4 out of 5 stars","-146"
"421",14,"Rasheen Ali",BAL,"RB116","13","-","-","3 out of 5 stars","-"
"422",14,"Mitchell Evans",CAR,"TE58","5","-","-","2 out of 5 stars","+70"
"423",15,"Greg Dortch",DET,"WR144","6","-","-","4 out of 5 stars","+13"
"424",15,"Daniel Bellinger",TEN,"TE59","9","-","-","3 out of 5 stars","+31"
"425",15,"Roschon Johnson",CHI,"RB117","10","-","-","2 out of 5 stars","+48"
"426",15,"Zach Ertz",FA,"TE60","-","-","-","-","-"
"427",15,"Jonnu Smith",FA,"TE61","-","-","-","-","-"
"428",15,"Tommy Myers",FA,"TE62","-","-","-","-","-"
"429",15,"Antonio Gibson",FA,"RB118","-","-","-","-","+158"
"430",15,"Jaret Patterson",LAC,"RB119","7","-","-","3 out of 5 stars","+131"
"431",15,"Mitch Tinsley",CIN,"WR145","6","-","-","4 out of 5 stars","-29"
"432",15,"Ty Chandler",NO,"RB120","8","-","-","3 out of 5 stars","-"
"433",15,"Zavier Scott",MIN,"RB121","6","-","-","4 out of 5 stars","+144"
"434",15,"Jaydn Ott",KC,"RB122","5","2 out of 5","4 out of 5","3 out of 5 stars","-"
"435",15,"Malik Benson",LV,"WR146","13","2 out of 5","4 out of 5","2 out of 5 stars","+95"
"436",15,"Scotty Miller",CHI,"WR147","10","-","-","3 out of 5 stars","+113"
"437",15,"Hunter Luepke",DAL,"RB123","14","-","-","4 out of 5 stars","-5"
"438",15,"Cash Jones",ATL,"RB124","11","2 out of 5","1 out of 5","2 out of 5 stars","-"
"439",15,"Jake Moody",WAS,"K32","7","-","-","5 out of 5 stars","-115"
"440",15,"Elijah Higgins",ARI,"TE63","14","-","-","2 out of 5 stars","-17"
"441",15,"Ronnie Rivers",LAR,"RB125","11","-","-","5 out of 5 stars","+125"
"442",15,"Marlin Klein",HOU,"TE64","8","3 out of 5","4 out of 5","4 out of 5 stars","-"
"443",15,"Charlie Kolar",LAC,"TE65","7","-","-","4 out of 5 stars","-"
