"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"65",6,"Caleb Williams",CHI,"QB7","10","5 out of 5","2 out of 5","3 out of 5 stars","+15"
"66",6,"Justin Herbert",LAC,"QB8","7","4 out of 5","2 out of 5","2 out of 5 stars","+22"
"67",6,"Bhayshul Tuten",JAC,"RB25","7","4 out of 5","3 out of 5","4 out of 5 stars","-8"
"68",6,"Marvin Harrison Jr.",ARI,"WR31","14","4 out of 5","4 out of 5","2 out of 5 stars","+2"
"69",6,"Tucker Kraft",GB,"TE5","11","4 out of 5","2 out of 5","2 out of 5 stars","+6"
"70",7,"Jaylen Warren",PIT,"RB26","9","4 out of 5","4 out of 5","2 out of 5 stars","-1"
"71",7,"Harold Fannin Jr.",CLE,"TE6","11","4 out of 5","3 out of 5","3 out of 5 stars","-6"
"72",7,"Jadarian Price",SEA,"RB27","11","4 out of 5","4 out of 5","4 out of 5 stars","-8"
"73",7,"DK Metcalf",PIT,"WR32","9","3 out of 5","3 out of 5","3 out of 5 stars","+4"
"74",7,"Brian Thomas Jr.",JAC,"WR33","7","3 out of 5","4 out of 5","4 out of 5 stars","0"
"75",7,"Trevor Lawrence",JAC,"QB9","7","5 out of 5","2 out of 5","4 out of 5 stars","+14"
"76",7,"Chris Godwin Jr.",TB,"WR34","10","3 out of 5","4 out of 5","4 out of 5 stars","+21"
"77",7,"Parker Washington",JAC,"WR35","7","4 out of 5","3 out of 5","4 out of 5 stars","+8"
"78",7,"Dak Prescott",DAL,"QB10","14","4 out of 5","2 out of 5","2 out of 5 stars","0"
"79",7,"Kyle Pitts Sr.",ATL,"TE7","11","4 out of 5","4 out of 5","3 out of 5 stars","-11"
"80",7,"Alec Pierce",IND,"WR36","13","4 out of 5","4 out of 5","4 out of 5 stars","-1"
"81",7,"Courtland Sutton",DEN,"WR37","10","2 out of 5","4 out of 5","2 out of 5 stars","-10"
"82",7,"Michael Pittman Jr.",PIT,"WR38","9","4 out of 5","4 out of 5","3 out of 5 stars","+13"
"83",7,"Rhamondre Stevenson",NE,"RB28","11","4 out of 5","3 out of 5","2 out of 5 stars","-1"
"84",7,"Tony Pollard",TEN,"RB29","9","3 out of 5","3 out of 5","3 out of 5 stars","-12"
"85",7,"Sam LaPorta",DET,"TE8","6","4 out of 5","2 out of 5","3 out of 5 stars","-12"
"86",7,"Chuba Hubbard",CAR,"RB30","5","2 out of 5","4 out of 5","1 out of 5 stars","-5"
"87",7,"Michael Wilson",ARI,"WR39","14","-","-","2 out of 5 stars","0"
"88",7,"Rico Dowdle",PIT,"RB31","9","4 out of 5","4 out of 5","2 out of 5 stars","-4"
"89",7,"Wan'Dale Robinson",TEN,"WR40","9","3 out of 5","4 out of 5","3 out of 5 stars","+3"
"90",7,"Jordyn Tyson",NO,"WR41","8","4 out of 5","4 out of 5","3 out of 5 stars","-4"
""
"91",7,"Josh Downs",IND,"WR42","13","3 out of 5","4 out of 5","4 out of 5 stars","+23"
"92",7,"Jaxson Dart",NYG,"QB11","8","4 out of 5","4 out of 5","4 out of 5 stars","-9"
"93",7,"RJ Harvey",DEN,"RB32","10","2 out of 5","4 out of 5","2 out of 5 stars","-17"
"94",7,"Brock Purdy",SF,"QB12","8","4 out of 5","1 out of 5","1 out of 5 stars","+5"
"95",7,"Jakobi Meyers",JAC,"WR43","7","2 out of 5","3 out of 5","4 out of 5 stars","+1"
"96",7,"Quentin Johnston",LAC,"WR44","7","4 out of 5","4 out of 5","2 out of 5 stars","+8"
"97",7,"Travis Kelce",KC,"TE9","5","3 out of 5","3 out of 5","4 out of 5 stars","+5"
"98",8,"Patrick Mahomes II",KC,"QB13","5","3 out of 5","4 out of 5","2 out of 5 stars","+3"
"99",8,"Kenny Gainwell",TB,"RB33","10","4 out of 5","3 out of 5","2 out of 5 stars","+1"
"100",8,"Bo Nix",DEN,"QB14","10","4 out of 5","2 out of 5","3 out of 5 stars","+11"
"101",8,"J.K. Dobbins",DEN,"RB34","10","4 out of 5","4 out of 5","2 out of 5 stars","-11"
"102",8,"Makai Lemon",PHI,"WR45","10","4 out of 5","3 out of 5","4 out of 5 stars","-9"
"103",8,"Kyle Monangai",CHI,"RB35","10","4 out of 5","3 out of 5","2 out of 5 stars","-12"
"104",8,"Matthew Stafford",LAR,"QB15","11","4 out of 5","3 out of 5","3 out of 5 stars","-6"
"105",8,"Jordan Addison",MIN,"WR46","6","4 out of 5","3 out of 5","5 out of 5 stars","+3"
"106",8,"George Kittle",SF,"TE10","8","4 out of 5","4 out of 5","3 out of 5 stars","-12"
"107",8,"Rachaad White",WAS,"RB36","7","4 out of 5","3 out of 5","4 out of 5 stars","-4"
"108",8,"Jayden Reed",GB,"WR47","11","4 out of 5","4 out of 5","5 out of 5 stars","+9"
"109",8,"Jared Goff",DET,"QB16","6","4 out of 5","1 out of 5","5 out of 5 stars","+11"
"110",8,"Blake Corum",LAR,"RB37","11","4 out of 5","4 out of 5","5 out of 5 stars","-5"
"111",8,"Jake Ferguson",DAL,"TE11","14","2 out of 5","4 out of 5","2 out of 5 stars","+1"
"112",8,"Aaron Jones Sr.",MIN,"RB38","6","1 out of 5","4 out of 5","4 out of 5 stars","-2"
"113",8,"Kyler Murray",MIN,"QB17","6","4 out of 5","3 out of 5","5 out of 5 stars","+19"
"114",8,"Dalton Kincaid",BUF,"TE12","7","3 out of 5","4 out of 5","3 out of 5 stars","+8"
"115",8,"Baker Mayfield",TB,"QB18","10","2 out of 5","4 out of 5","2 out of 5 stars","+15"
"116",8,"Jonathon Brooks",CAR,"RB39","5","4 out of 5","4 out of 5","1 out of 5 stars","-10"
"117",8,"Jordan Love",GB,"QB19","11","4 out of 5","3 out of 5","4 out of 5 stars","+24"
"118",8,"Jayden Higgins",HOU,"WR48","8","4 out of 5","2 out of 5","3 out of 5 stars","+16"
"119",8,"Khalil Shakir",BUF,"WR49","7","1 out of 5","4 out of 5","4 out of 5 stars","+12"
"120",8,"Tyler Shough",NO,"QB20","8","4 out of 5","2 out of 5","3 out of 5 stars","+18"
"121",8,"Dallas Goedert",PHI,"TE13","10","4 out of 5","4 out of 5","4 out of 5 stars","-8"
"122",8,"Xavier Worthy",KC,"WR50","5","4 out of 5","4 out of 5","2 out of 5 stars","+5"
"123",8,"Isaiah Likely",NYG,"TE14","8","4 out of 5","4 out of 5","3 out of 5 stars","-14"
"124",8,"Jacory Croskey-Merritt",WAS,"RB40","7","3 out of 5","4 out of 5","4 out of 5 stars","-8"
"125",8,"Jordan Mason",MIN,"RB41","6","2 out of 5","4 out of 5","4 out of 5 stars","-7"
"126",8,"Mark Andrews",BAL,"TE15","13","4 out of 5","4 out of 5","4 out of 5 stars","-5"
"127",8,"Jalen Coker",CAR,"WR51","5","3 out of 5","3 out of 5","2 out of 5 stars","+10"
"128",8,"Romeo Doubs",NE,"WR52","11","3 out of 5","3 out of 5","2 out of 5 stars","-2"
"129",9,"KC Concepcion",CLE,"WR53","11","4 out of 5","3 out of 5","3 out of 5 stars","-1"
"130",9,"Malik Willis",MIA,"QB21","6","4 out of 5","4 out of 5","3 out of 5 stars","+24"
"131",9,"Tyrone Tracy Jr.",NYG,"RB42","8","4 out of 5","4 out of 5","4 out of 5 stars","+4"
"132",9,"Matthew Golden",GB,"WR54","11","4 out of 5","4 out of 5","5 out of 5 stars","-7"
"133",9,"Woody Marks",HOU,"RB43","8","3 out of 5","4 out of 5","4 out of 5 stars","0"
"134",9,"C.J. Stroud",HOU,"QB22","8","3 out of 5","3 out of 5","4 out of 5 stars","+42"
"135",9,"Tyler Allgeier",ARI,"RB44","14","3 out of 5","4 out of 5","2 out of 5 stars","+15"
"136",9,"Tyjae Spears",TEN,"RB45","9","3 out of 5","4 out of 5","3 out of 5 stars","+17"
"137",9,"Sam Darnold",SEA,"QB23","11","2 out of 5","4 out of 5","4 out of 5 stars","+40"
"138",9,"Alvin Kamara",NO,"RB46","8","3 out of 5","4 out of 5","3 out of 5 stars","+2"
"139",9,"Chris Rodriguez Jr.",JAC,"RB47","7","2 out of 5","4 out of 5","4 out of 5 stars","+4"
"140",9,"Zach Charbonnet",SEA,"RB48","11","3 out of 5","4 out of 5","4 out of 5 stars","-11"
"141",9,"Rashid Shaheed",SEA,"WR55","11","4 out of 5","4 out of 5","3 out of 5 stars","-2"
"142",9,"Dylan Sampson",CLE,"RB49","11","4 out of 5","2 out of 5","3 out of 5 stars","+48"
"143",9,"Juwan Johnson",NO,"TE16","8","4 out of 5","4 out of 5","2 out of 5 stars","+1"
"144",9,"Chig Okonkwo",WAS,"TE17","7","4 out of 5","2 out of 5","1 out of 5 stars","+14"
"145",9,"Cam Ward",TEN,"QB24","9","4 out of 5","4 out of 5","3 out of 5 stars","+38"
"146",9,"Isiah Pacheco",DET,"RB50","6","2 out of 5","4 out of 5","5 out of 5 stars","+2"
"147",9,"Brenton Strange",JAC,"TE18","7","4 out of 5","3 out of 5","3 out of 5 stars","0"
"148",9,"Jauan Jennings",MIN,"WR56","6","2 out of 5","4 out of 5","5 out of 5 stars","+22"
"149",9,"Jerry Jeudy",CLE,"WR57","11","2 out of 5","4 out of 5","3 out of 5 stars","+19"
"150",9,"Daniel Jones",IND,"QB25","13","4 out of 5","4 out of 5","4 out of 5 stars","+28"
"151",9,"Keaton Mitchell",LAC,"RB51","7","4 out of 5","4 out of 5","3 out of 5 stars","+28"
"152",9,"Hunter Henry",NE,"TE19","11","2 out of 5","4 out of 5","4 out of 5 stars","+3"
"153",9,"Bryce Young",CAR,"QB26","5","2 out of 5","4 out of 5","2 out of 5 stars","+53"
"154",9,"Adonai Mitchell",NYJ,"WR58","13","4 out of 5","4 out of 5","4 out of 5 stars","+32"
"155",9,"Jalen McMillan",TB,"WR59","10","4 out of 5","3 out of 5","4 out of 5 stars","+7"
"156",9,"Brian Robinson Jr.",ATL,"RB52","11","1 out of 5","4 out of 5","2 out of 5 stars","+5"
"157",9,"Denzel Boston",CLE,"WR60","11","4 out of 5","4 out of 5","3 out of 5 stars","+7"
"158",9,"Houston Texans",HOU,"DST1","8","-","-","2 out of 5 stars","-51"
"159",9,"Omar Cooper Jr.",NYJ,"WR61","13","4 out of 5","4 out of 5","4 out of 5 stars","+7"
"160",9,"Oronde Gadsden II",LAC,"TE20","7","2 out of 5","4 out of 5","4 out of 5 stars","-3"
"161",9,"Tank Bigsby",PHI,"RB53","10","4 out of 5","4 out of 5","4 out of 5 stars","+11"
"162",9,"Jonah Coleman",DEN,"RB54","10","3 out of 5","4 out of 5","2 out of 5 stars","+20"
"163",9,"Deebo Samuel Sr.",SF,"WR62","8","3 out of 5","4 out of 5","2 out of 5 stars","-21"
"164",9,"Travis Hunter",JAC,"WR63","7","3 out of 5","4 out of 5","4 out of 5 stars","+46"
"165",9,"Tre Tucker",LV,"WR64","13","4 out of 5","2 out of 5","2 out of 5 stars","+10"
"166",10,"Dalton Schultz",HOU,"TE21","8","3 out of 5","2 out of 5","4 out of 5 stars","+5"
"167",10,"Denver Broncos",DEN,"DST2","10","-","-","4 out of 5 stars","-52"
"168",10,"Tre' Harris",LAC,"WR65","7","4 out of 5","3 out of 5","2 out of 5 stars","+60"
"169",10,"Seattle Seahawks",SEA,"DST3","11","-","-","2 out of 5 stars","-45"
"170",10,"Los Angeles Rams",LAR,"DST4","11","-","-","2 out of 5 stars","-51"
"171",10,"Braelon Allen",NYJ,"RB55","13","2 out of 5","4 out of 5","3 out of 5 stars","+22"
"172",10,"Philadelphia Eagles",PHI,"DST5","10","-","-","0 out of 5 stars","-36"
"173",10,"Ryan Flournoy",DAL,"WR66","14","4 out of 5","2 out of 5","2 out of 5 stars","+90"
"174",10,"T.J. Hockenson",MIN,"TE22","6","3 out of 5","4 out of 5","4 out of 5 stars","-22"
"175",10,"Jacoby Brissett",ARI,"QB27","14","2 out of 5","4 out of 5","2 out of 5 stars","+40"
"176",10,"Kayshon Boutte",NE,"WR67","11","3 out of 5","4 out of 5","2 out of 5 stars","+16"
"177",10,"De'Zhaun Stribling",SF,"WR68","8","3 out of 5","4 out of 5","2 out of 5 stars","-3"
"178",10,"James Conner",ARI,"RB56","14","2 out of 5","4 out of 5","2 out of 5 stars","+17"
"179",10,"Brandon Aubrey",DAL,"K1","14","5 out of 5","1 out of 5","2 out of 5 stars","-56"
"180",10,"Stefon Diggs",FA,"WR69","-","4 out of 5","4 out of 5","-","-35"
"181",10,"Troy Franklin",DEN,"WR70","10","1 out of 5","4 out of 5","2 out of 5 stars","+75"
"182",10,"Pittsburgh Steelers",PIT,"DST6","9","-","-","5 out of 5 stars","-17"
"183",10,"Kimani Vidal",LAC,"RB57","7","-","-","3 out of 5 stars","+16"
"184",10,"Jacksonville Jaguars",JAC,"DST7","7","-","-","3 out of 5 stars","-11"
"185",10,"Jalen Nailor",LV,"WR71","13","-","-","2 out of 5 stars","-16"
"186",10,"Minnesota Vikings",MIN,"DST8","6","-","-","1 out of 5 stars","-26"
"187",10,"Calvin Ridley",TEN,"WR72","9","2 out of 5","4 out of 5","3 out of 5 stars","-6"
"188",10,"New England Patriots",NE,"DST9","11","-","-","3 out of 5 stars","-29"
"189",10,"Jaylin Noel",HOU,"WR73","8","4 out of 5","4 out of 5","3 out of 5 stars","+94"
"190",10,"AJ Barner",SEA,"TE23","11","4 out of 5","3 out of 5","3 out of 5 stars","+7"
"191",10,"Ray Davis",BUF,"RB58","7","-","-","2 out of 5 stars","+44"
"192",10,"Sean Tucker",TB,"RB59","10","4 out of 5","4 out of 5","2 out of 5 stars","+44"
"193",10,"Los Angeles Chargers",LAC,"DST10","7","-","-","3 out of 5 stars","-9"
"194",10,"Dontayvion Wicks",PHI,"WR74","10","3 out of 5","4 out of 5","4 out of 5 stars","+74"
"195",10,"Cameron Dicker",LAC,"K2","7","5 out of 5","1 out of 5","2 out of 5 stars","-46"
"196",10,"Ka'imi Fairbairn",HOU,"K3","8","5 out of 5","1 out of 5","2 out of 5 stars","-40"
"197",10,"Emmett Johnson",KC,"RB60","5","4 out of 5","4 out of 5","3 out of 5 stars","+4"
"198",10,"Antonio Williams",WAS,"WR75","7","4 out of 5","2 out of 5","2 out of 5 stars","+4"
"199",10,"Darnell Mooney",NYG,"WR76","8","3 out of 5","4 out of 5","4 out of 5 stars","+8"
"200",10,"Malik Washington",MIA,"WR77","6","2 out of 5","4 out of 5","3 out of 5 stars","+48"
"201",10,"Kenyon Sadiq",NYJ,"TE24","13","3 out of 5","4 out of 5","4 out of 5 stars","-50"
"202",10,"Cam Little",JAC,"K4","7","-","-","4 out of 5 stars","-35"
"203",10,"Isaac TeSlaa",DET,"WR78","6","3 out of 5","4 out of 5","4 out of 5 stars","+29"
"204",10,"Baltimore Ravens",BAL,"DST11","13","-","-","5 out of 5 stars","-41"
"205",10,"Jason Myers",SEA,"K5","11","-","-","4 out of 5 stars","-59"
"206",10,"Gunnar Helm",TEN,"TE25","9","4 out of 5","3 out of 5","3 out of 5 stars","+32"
"207",10,"Pat Bryant",DEN,"WR79","10","-","-","2 out of 5 stars","+87"
"208",11,"Emanuel Wilson",SEA,"RB61","11","2 out of 5","4 out of 5","4 out of 5 stars","-8"
"209",11,"Eddy Pineiro",SF,"K6","8","4 out of 5","2 out of 5","5 out of 5 stars","-22"
"210",11,"Green Bay Packers",GB,"DST12","11","-","-","2 out of 5 stars","-6"
"211",11,"Tyler Loop",BAL,"K7","13","-","-","3 out of 5 stars","-6"
"212",11,"Rashod Bateman",BAL,"WR80","13","3 out of 5","4 out of 5","4 out of 5 stars","+39"
"213",11,"Kansas City Chiefs",KC,"DST13","5","-","-","3 out of 5 stars","-4"
"214",11,"Mike Washington Jr.",LV,"RB62","13","3 out of 5","4 out of 5","2 out of 5 stars","+27"
"215",11,"Nicholas Singleton",TEN,"RB63","9","3 out of 5","4 out of 5","3 out of 5 stars","-1"
"216",11,"Geno Smith",NYJ,"QB28","13","2 out of 5","4 out of 5","4 out of 5 stars","+128"
"217",11,"Cooper Kupp",SEA,"WR81","11","4 out of 5","4 out of 5","3 out of 5 stars","0"
"218",11,"Tank Dell",HOU,"WR82","8","4 out of 5","4 out of 5","3 out of 5 stars","-33"
"219",11,"Aaron Rodgers",PIT,"QB29","9","2 out of 5","4 out of 5","2 out of 5 stars","+20"
"220",11,"Cairo Santos",CHI,"K8","10","-","-","0 out of 5 stars","-24"
"221",11,"Evan McPherson",CIN,"K9","6","-","-","2 out of 5 stars","+2"
"222",11,"Detroit Lions",DET,"DST14","6","-","-","5 out of 5 stars","-24"
"223",11,"Jake Bates",DET,"K10","6","-","-","5 out of 5 stars","-34"
"224",11,"Andy Borregales",NE,"K11","11","-","-","1 out of 5 stars","+9"
"225",11,"Kaytron Allen",WAS,"RB64","7","2 out of 5","4 out of 5","4 out of 5 stars","-6"
"226",11,"Pat Freiermuth",PIT,"TE26","9","3 out of 5","3 out of 5","2 out of 5 stars","0"
"227",11,"Cleveland Browns",CLE,"DST15","11","-","-","5 out of 5 stars","-6"
"228",11,"Buffalo Bills",BUF,"DST16","7","-","-","3 out of 5 stars","-8"
"229",11,"Chase McLaughlin",TB,"K12","10","-","-","3 out of 5 stars","-5"
"230",11,"MarShawn Lloyd",GB,"RB65","11","4 out of 5","4 out of 5","4 out of 5 stars","+35"
"231",11,"Cade Otton",TB,"TE27","10","2 out of 5","4 out of 5","2 out of 5 stars","-28"
"232",11,"Zachariah Branch",ATL,"WR83","11","2 out of 5","4 out of 5","3 out of 5 stars","+5"
"233",11,"Chimere Dike",TEN,"WR84","9","2 out of 5","5 out of 5","3 out of 5 stars","+71"
"234",11,"Germie Bernard",PIT,"WR85","9","2 out of 5","4 out of 5","3 out of 5 stars","+43"
"235",11,"Harrison Mevis",LAR,"K13","11","-","-","2 out of 5 stars","-55"
"236",11,"Jaylen Wright",MIA,"RB66","6","-","-","3 out of 5 stars","+16"
"237",11,"Terrance Ferguson",LAR,"TE28","11","4 out of 5","4 out of 5","4 out of 5 stars","-26"
"238",11,"Jaydon Blue",DAL,"RB67","14","4 out of 5","3 out of 5","4 out of 5 stars","+12"
"239",11,"Ted Hurst III",TB,"WR86","10","4 out of 5","4 out of 5","4 out of 5 stars","+41"
"240",11,"Harrison Butker",KC,"K14","5","-","-","5 out of 5 stars","-49"
"241",11,"Ollie Gordon II",MIA,"RB68","6","3 out of 5","4 out of 5","3 out of 5 stars","+128"
"242",11,"Jack Bech",LV,"WR87","13","3 out of 5","4 out of 5","2 out of 5 stars","+3"
"243",11,"Keon Coleman",BUF,"WR88","7","2 out of 5","4 out of 5","4 out of 5 stars","+55"
"244",11,"David Njoku",LAC,"TE29","7","4 out of 5","4 out of 5","4 out of 5 stars","-36"
"245",11,"Justice Hill",BAL,"RB69","13","-","-","3 out of 5 stars","-15"
"246",11,"Elic Ayomanor",TEN,"WR89","9","1 out of 5","5 out of 5","3 out of 5 stars","+29"
"247",11,"Chris Boswell",PIT,"K15","9","-","-","4 out of 5 stars","-22"
"248",11,"Evan Engram",DEN,"TE30","10","-","-","4 out of 5 stars","+80"
"249",11,"Greg Dulcich",MIA,"TE31","6","4 out of 5","4 out of 5","5 out of 5 stars","-20"
"250",11,"Fernando Mendoza",LV,"QB30","13","4 out of 5","3 out of 5","1 out of 5 stars","-38"
"251",11,"Colby Parkinson",LAR,"TE32","11","-","-","4 out of 5 stars","+8"
"252",11,"Tua Tagovailoa",ATL,"QB31","11","2 out of 5","4 out of 5","4 out of 5 stars","+34"
"253",11,"Isaiah Davis",NYJ,"RB70","13","2 out of 5","4 out of 5","3 out of 5 stars","+136"
"254",12,"Tory Horton",SEA,"WR90","11","4 out of 5","4 out of 5","3 out of 5 stars","+42"
"255",12,"George Holani",SEA,"RB71","11","3 out of 5","4 out of 5","4 out of 5 stars","+15"
"256",12,"Brandon Aiyuk",SF,"WR91","8","2 out of 5","5 out of 5","2 out of 5 stars","-43"
"257",12,"Chris Bell",MIA,"WR92","6","3 out of 5","4 out of 5","3 out of 5 stars","+44"
"258",12,"Malachi Fields",NYG,"WR93","8","4 out of 5","3 out of 5","4 out of 5 stars","-12"
"259",12,"Ty Johnson",BUF,"RB72","7","-","-","2 out of 5 stars","+22"
"260",12,"Elijah Sarratt",BAL,"WR94","13","4 out of 5","3 out of 5","4 out of 5 stars","+75"
"261",12,"Demond Claiborne",MIN,"RB73","6","3 out of 5","4 out of 5","4 out of 5 stars","-21"
"262",12,"Wil Lutz",DEN,"K16","10","-","-","1 out of 5 stars","+45"
"263",12,"Christian Kirk",SF,"WR95","8","3 out of 5","4 out of 5","2 out of 5 stars","-9"
"264",12,"Darius Slayton",NYG,"WR96","8","2 out of 5","4 out of 5","4 out of 5 stars","+128"
"265",12,"Tyquan Thornton",KC,"WR97","5","-","-","2 out of 5 stars","+150"
"266",12,"Eli Stowers",PHI,"TE33","10","4 out of 5","4 out of 5","4 out of 5 stars","-22"
"267",12,"DJ Giddens",IND,"RB74","13","2 out of 5","4 out of 5","4 out of 5 stars","+44"
"268",12,"Marvin Mims Jr.",DEN,"WR98","10","-","-","2 out of 5 stars","+20"
"269",12,"Mason Taylor",NYJ,"TE34","13","1 out of 5","4 out of 5","4 out of 5 stars","-11"
"270",12,"LeQuint Allen Jr.",JAC,"RB75","7","2 out of 5","4 out of 5","4 out of 5 stars","+6"
"271",12,"Chris Brooks",GB,"RB76","11","2 out of 5","4 out of 5","4 out of 5 stars","+93"
"272",12,"Xavier Legette",CAR,"WR99","5","2 out of 5","4 out of 5","2 out of 5 stars","+118"
"273",12,"Trey Benson",ARI,"RB77","14","1 out of 5","5 out of 5","2 out of 5 stars","-13"
"274",12,"Theo Johnson",NYG,"TE35","8","1 out of 5","5 out of 5","3 out of 5 stars","+59"
"275",12,"Devin Neal",NO,"RB78","8","2 out of 5","4 out of 5","3 out of 5 stars","+24"
"276",12,"Samaje Perine",CIN,"RB79","6","2 out of 5","4 out of 5","2 out of 5 stars","+16"
"277",12,"Jordan James",SF,"RB80","8","4 out of 5","4 out of 5","2 out of 5 stars","-46"
"278",12,"Will Reichard",MIN,"K17","6","-","-","2 out of 5 stars","-84"
"279",12,"Atlanta Falcons",ATL,"DST17","11","-","-","4 out of 5 stars","-45"
"280",12,"San Francisco 49ers",SF,"DST18","8","-","-","3 out of 5 stars","-64"
"281",12,"Devaughn Vele",NO,"WR100","8","-","-","3 out of 5 stars","+36"
"282",12,"Michael Penix Jr.",ATL,"QB32","11","1 out of 5","5 out of 5","4 out of 5 stars","+11"
"283",12,"Malik Davis",DAL,"RB81","14","-","-","4 out of 5 stars","+101"
"284",12,"Kaelon Black",SF,"RB82","8","3 out of 5","4 out of 5","2 out of 5 stars","-37"
"285",12,"Oscar Delp",NO,"TE36","8","4 out of 5","4 out of 5","2 out of 5 stars","+169"
"286",12,"Deshaun Watson",CLE,"QB33","11","1 out of 5","5 out of 5","4 out of 5 stars","+23"
"287",12,"Kaleb Johnson",PIT,"RB83","9","2 out of 5","5 out of 5","2 out of 5 stars","-21"
"288",12,"Kendre Miller",NO,"RB84","8","2 out of 5","4 out of 5","3 out of 5 stars","+55"
"289",12,"Emari Demercado",KC,"RB85","5","1 out of 5","5 out of 5","3 out of 5 stars","+48"
"290",12,"Kirk Cousins",LV,"QB34","13","2 out of 5","4 out of 5","1 out of 5 stars","+37"
"291",12,"Hollywood Brown",PHI,"WR101","10","-","-","4 out of 5 stars","+61"
"292",12,"Shedeur Sanders",CLE,"QB35","11","3 out of 5","4 out of 5","4 out of 5 stars","-43"
"293",12,"Tyreek Hill",FA,"WR102","-","1 out of 5","5 out of 5","-","-105"
"294",12,"Keenan Allen",LAC,"WR103","7","2 out of 5","4 out of 5","2 out of 5 stars","-32"
"295",12,"Brashard Smith",KC,"RB86","5","-","-","3 out of 5 stars","+8"
"296",12,"Mack Hollins",NE,"WR104","11","-","-","2 out of 5 stars","+26"
"297",12,"Devin Singletary",NYG,"RB87","8","-","-","4 out of 5 stars","+9"
"298",12,"Kyle Williams",NE,"WR105","11","-","-","2 out of 5 stars","-27"
"299",12,"Mike Gesicki",CIN,"TE37","6","-","-","3 out of 5 stars","+40"
"300",12,"Skyler Bell",BUF,"WR106","7","3 out of 5","4 out of 5","4 out of 5 stars","+2"
